FieldID	TRAIT_OF_INTEREST	EXCLUDED	CAT_MULT_INDICATOR_FIELDS	CAT_SINGLE_TO_CAT_MULT	DATA_CODING	Phase_I_PheWAS	Importance	Path	Category	Field	Participants	Items	Stability	ValueType	Units	ItemType	Strata	Sexed	Instances	Array	Coding	Notes	Link
23314						Yes - Continuous		"UK Biobank Assessment Centre > Imaging > DXA assessment > Bone size, mineral and density by DXA"	125	Arm bone area (right)	4350	4350	Accruing	Continuous	cm2	Data	Primary	Unisex	1	1		Arm area (right)	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23314
23315						Yes - Continuous		"UK Biobank Assessment Centre > Imaging > DXA assessment > Bone size, mineral and density by DXA"	125	Leg bone area (left)	4350	4350	Accruing	Continuous	cm2	Data	Primary	Unisex	1	1		Leg area (left)	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23315
23316						Yes - Continuous		"UK Biobank Assessment Centre > Imaging > DXA assessment > Bone size, mineral and density by DXA"	125	Leg bone area (right)	4350	4350	Accruing	Continuous	cm2	Data	Primary	Unisex	1	1		Leg area (right)	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23316
23317						Yes - Continuous		"UK Biobank Assessment Centre > Imaging > DXA assessment > Bone size, mineral and density by DXA"	125	Arms combined bone area	5170	5170	Accruing	Continuous	cm2	Data	Primary	Unisex	1	1		Arms combined area is the sum of ~F23313~ and ~F23314~. It has been presented in addition to the component parts because the DXA device did not always return the separate Left and Right values.	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23317
23318						Yes - Continuous		"UK Biobank Assessment Centre > Imaging > DXA assessment > Bone size, mineral and density by DXA"	125	Legs combined bone area	5170	5170	Accruing	Continuous	cm2	Data	Primary	Unisex	1	1		Legs combined area is the sum of ~F23315~ and ~F23316~. It has been presented in addition to the component parts because the DXA device did not always return the separate Left and Right values.	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23318
23320						Yes - Continuous		"UK Biobank Assessment Centre > Imaging > DXA assessment > Bone size, mineral and density by DXA"	125	Leg BMC (bone mineral content) (left)	4350	4350	Accruing	Continuous	g	Data	Primary	Unisex	1	1		Value output by DXA system	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23320
23321						.		UK Biobank Assessment Centre > Cognitive function > Symbol digit substitution	502	Values wanted	32501	679135	Accruing	Integer		Data	Supporting	Unisex	2	105		This is an array of values indicating the digit that the participant would have entered if they had correctly matched the symbols above and below.	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23321
23322						.		UK Biobank Assessment Centre > Cognitive function > Symbol digit substitution	502	Values entered	32501	679135	Accruing	Integer		Data	Supporting	Unisex	2	105		Digits entered by participant	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23322
23323					6361	.		UK Biobank Assessment Centre > Cognitive function > Symbol digit substitution	502	Number of symbol digit matches attempted	32501	34662	Accruing	Integer	attempts	Data	Derived	Unisex	2	1	6361	Number of symbol digit matches attempted before the participant timed-out.	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23323
23324						.		UK Biobank Assessment Centre > Cognitive function > Symbol digit substitution	502	Number of symbol digit matches made correctly	32501	34662	Accruing	Integer	correct-answers	Data	Derived	Unisex	2	1		"This is the number of symbols correctly matched to digits by the participant.   Note that it would be possible to get a high score here simply by repeated entering """"1"""" very quickly as it would be correct 1/8 of the time and a large number of attempts could be made. For this reason, the score must be interpreted alongside ~F6774~ which shows the total number of attempts."	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23324
24003						Yes - Continuous		Additional exposures > Local environment > Residential air pollution	114	Nitrogen dioxide air pollution; 2010	495126	495126	Complete	Continuous	micro-g/m3	Data	Primary	Unisex	1	1		Nitrogen dioxide; Land Use Regression (LUR) estimate for annual average 2010.	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=24003
24004						Yes - Continuous		Additional exposures > Local environment > Residential air pollution	114	Nitrogen oxides air pollution; 2010	495126	495126	Complete	Continuous	micro-g/m3	Data	Primary	Unisex	1	1		Nitrogen oxides; Land Use Regression (LUR) estimate for annual average 2010.	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=24004
24005						Yes - Continuous		Additional exposures > Local environment > Residential air pollution	114	Particulate matter air pollution (pm10); 2010	461203	461203	Complete	Continuous	micro-g/m3	Data	Primary	Unisex	1	1		PM10 (particulate matter with diameter less than or equal to 10 micrometres); Land Use Regression (LUR) estimate for annual average 2010.	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=24005
24006						Yes - Continuous		Additional exposures > Local environment > Residential air pollution	114	Particulate matter air pollution (pm2.5); 2010	461203	461203	Complete	Continuous	micro-g/m3	Data	Primary	Unisex	1	1		PM10 (particulate matter with diameter less than or equal to 2.5 micrometres); Land Use Regression (LUR) estimate for annual average 2010.	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=24006
24007						Yes - Continuous		Additional exposures > Local environment > Residential air pollution	114	Particulate matter air pollution (pm2.5) absorbance; 2010	461203	461203	Complete	Continuous	per-metre	Data	Primary	Unisex	1	1		"PM2.5 absorbance. This is ameasurement of the blackness of PM2.5 filters; a proxy for elemental carbon, which is the dominant light absorbing substanc. Land Use Regression (LUR) estimate for annual average 2010"	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=24007
24008						Yes - Continuous		Additional exposures > Local environment > Residential air pollution	114	Particulate matter air pollution 2.5-10um; 2010	461203	461203	Complete	Continuous	micro-g/m3	Data	Primary	Unisex	1	1		PM coarse (particulate matter betweem 2.5 and 10 micrometres); Land Use Regression (LUR) estimate for annual average 2010.	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=24008
24009						.		Additional exposures > Local environment > Residential air pollution	114	Traffic intensity on the nearest road	495126	495126	Complete	Integer	vehicles/day	Data	Primary	Unisex	1	1		"Traffic intensity (average total number of motor vehicles per 24 hours) on the nearest road based upon local road network measured in vehicles per day. Traffic count data is from the Road Traffic Statistics Branch at the Department for Transport attached to the local road network. Traffic data for unmonitored links were estimates based on surrounding monitored links. The minimum traffic count was set to 500 vehicles per day. The local road network is taken from the Ordnance Survey Meridian 2 road network (scale 1:50000, 1 metre accuracy), 2009."	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=24009
24010						Yes - Continuous		Additional exposures > Local environment > Residential air pollution	114	Inverse distance to the nearest road	495126	495126	Complete	Continuous	1/metres	Data	Primary	Unisex	1	1		"Inverse distance to the nearest road based upon local road network. The local road network is taken from the Ordnance Survey Meridian 2 road network (scale 1:50000, 1 metre accuracy), 2009."	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=24010
24011						.		Additional exposures > Local environment > Residential air pollution	114	Traffic intensity on the nearest major road	495126	495126	Complete	Integer	vehicles/day	Data	Primary	Unisex	1	1		"Traffic intensity is the average total number of motor vehicles per 24 hours on the nearest major road based upon a local road network. Traffic count data is from the Road Traffic Statistics Branch at the Department for Transport attached to the local road network. Traffic data for unmonitored links were estimates based on surrounding monitored links. The local road network is taken from the Ordnance Survey Meridian 2 road network (scale 1:50000, 1 metre accuracy), 2009. The definition of a major road for the local road network is a road with traffic intensity greater than 5000 motor vehicles per 24 hours."	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=24011
24012						Yes - Continuous		Additional exposures > Local environment > Residential air pollution	114	Inverse distance to the nearest major road	495126	495126	Complete	Continuous	1/metres	Data	Primary	Unisex	1	1		"Inverse distance to the nearest major road based upon a local road network. The definition of a major road for the local road network is a road with traffic intensity greater than 5000 motor vehicles per 24 hours. The local road network is taken from the Ordnance Survey Meridian 2 road network (scale 1:50000, 1 metre accuracy), 2009."	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=24012
24013						.		Additional exposures > Local environment > Residential air pollution	114	Total traffic load on major roads	495126	495126	Complete	Integer	vehicles/day	Data	Primary	Unisex	1	1		"Total traffic load (average total number of motor vehicles per 24 hours * length of road segment) on major roads in a 100 metres circular buffer of residential address based upon local road network. The definition of a major road for the local road network is a road with traffic intensity greater than 5000 motor vehicles per 24 hours. The local road network is taken from the Ordnance Survey Meridian 2 road network (scale 1:50000, 1 metre accuracy), 2009."	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=24013
24014					7	.		Additional exposures > Local environment > Residential air pollution	114	Close to major road	495126	495126	Complete	Categorical single		Data	Primary	Unisex	1	1	7	"Indicator variable indicating whether a residential address is within 50 metres of a class 1 or 2 type road and/or within 100 metres of a class 0 road, based upon central road network. The Central road network is taken from Eurostreets version 3.1 digital road network (scale 1:10000), derived from the TeleAtlas MultiNet TM dataset for the year 2008. All roads of class 0, 1 and 2 (motorways, main roads of major importance and other main roads) were classified as major roads. Based upon local knowledge classes 3 and 4 (secondary roads and local connecting roads) were also classified as major roads."	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=24014
24015						Yes - Continuous		Additional exposures > Local environment > Residential air pollution	114	Sum of road length of major roads within 100m	495126	495126	Complete	Continuous	metres	Data	Primary	Unisex	1	1		"Sum of road length of major roads from the central road network within a 100 metre circular buffer of residential address. The Central road network is taken from Eurostreets version 3.1 digital road network (scale 1:10000), derived from the TeleAtlas MultiNet TM dataset for the year 2008. All roads of class 0, 1and 2 (motorways, main roads of major importance and other main roads) were classified as major roads. Based upon local knowledge classes 3 and 4 (secondary roads and local connecting roads) were also classified as major roads."	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=24015
24016						Yes - Continuous		Additional exposures > Local environment > Residential air pollution	114	Nitrogen dioxide air pollution; 2005	495126	495126	Complete	Continuous	micro-g/m3	Data	Primary	Unisex	1	1		Nitrogen dioxide; Land Use Regression (LUR) estimate for annual average 2005.	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=24016
24017						Yes - Continuous		Additional exposures > Local environment > Residential air pollution	114	Nitrogen dioxide air pollution; 2006	495126	495126	Complete	Continuous	micro-g/m3	Data	Primary	Unisex	1	1		Nitrogen dioxide; Land Use Regression (LUR) estimate for annual average 2006.	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=24017
24018						Yes - Continuous		Additional exposures > Local environment > Residential air pollution	114	Nitrogen dioxide air pollution; 2007	495126	495126	Complete	Continuous	micro-g/m3	Data	Primary	Unisex	1	1		Nitrogen dioxide; Land Use Regression (LUR) estimate for annual average 2007.	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=24018
24019						Yes - Continuous		Additional exposures > Local environment > Residential air pollution	114	Particulate matter air pollution (pm10); 2007	494028	494028	Complete	Continuous	micro-g/m3	Data	Primary	Unisex	1	1		PM10 (particulate matter with diameter less than or equal to 10 micrometres); Land Use Regression (LUR) estimate for annual average 2007.	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=24019
24020						Yes - Continuous		Additional exposures > Local environment > Residential noise pollution	115	Average daytime sound level of noise pollution	495126	495126	Complete	Continuous	dB	Data	Primary	Unisex	1	1		LDay (day equivalent level): Average sound level pressure LAeq over the 12-hour period 07:00 to 19:00.	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=24020
24021						Yes - Continuous		Additional exposures > Local environment > Residential noise pollution	115	Average evening sound level of noise pollution	495126	495126	Complete	Continuous	dB	Data	Primary	Unisex	1	1		LEve (evening equivalent level): Average sound level pressure LAeq between the hours of 19:00 to 23:00.	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=24021
24022						Yes - Continuous		Additional exposures > Local environment > Residential noise pollution	115	Average night-time sound level of noise pollution	495126	495126	Complete	Continuous	dB	Data	Primary	Unisex	1	1		LNight (night equivalent level): Average sound level pressure LAeq overnight 23:00 to 07:00.	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=24022
24023						Yes - Continuous		Additional exposures > Local environment > Residential noise pollution	115	Average 16-hour sound level of noise pollution	495126	495126	Complete	Continuous	dB	Data	Primary	Unisex	1	1		"LAeq,16hr (A-weighted equivalent sound level): Average sound level pressure LAeq between the hours of 07:00 to 23:00."	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=24023
24024						Yes - Continuous		Additional exposures > Local environment > Residential noise pollution	115	Average 24-hour sound level of noise pollution	495126	495126	Complete	Continuous	dB	Data	Primary	Unisex	1	1		LDen: (day-evening-night equivalent level): A-weighted Leq noise level measured over the 24 hour period with a 10 decibel penality added to the levels between 23:00 and 07:00.	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=24024
24500						Yes - Continuous		Additional exposures > Local environment > Greenspace and coastal proximity	151	"Greenspace percentage, buffer 1000m"	441029	461200	Complete	Continuous	percent	Data	Derived	Unisex	2	1		"The percentage of the home location buffer classed as 'Greenspace', as a proportion of all land-use types, and with home location data buffered at 1000m.   Land use data were obtained from the Generalized land use database for England (GLUD) 2005 data at the 2001 Census Output Area level. Each home location polygon was then allocated an area weighted mean of the land use percentage coverage for the 2001 Census Output Areas intersecting the home location buffer. Data are only available for participants whose home location was in England.   Further details of the methods used to derive these data can be found in ~R15374~, where this field is derived from variables referred to as gs1000_0 and gs1000_1."	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=24500
24501						Yes - Continuous		Additional exposures > Local environment > Greenspace and coastal proximity	151	"Domestic garden percentage, buffer 1000m"	441029	461200	Complete	Continuous	percent	Data	Derived	Unisex	2	1		"The percentage of the home location buffer classed as 'Domestic garden', as a proportion of all land-use types, and with home location data buffered at 1000m.   Land use data were obtained from the Generalized land use database for England (GLUD) 2005 data at the 2001 Census Output Area level. Each home location polygon was then allocated an area weighted mean of the land use percentage coverage for the 2001 Census Output Areas intersecting the home location buffer. Data are only available for participants whose home location was in England.   Further details of the methods used to derive these data can be found in ~R15374~, where his field is derived from variables referred to as grd1000_0 and grd1000_1."	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=24501
24502						Yes - Continuous		Additional exposures > Local environment > Greenspace and coastal proximity	151	"Water percentage, buffer 1000m"	441029	461200	Complete	Continuous	percent	Data	Derived	Unisex	2	1		"The percentage of the home location buffer classed as 'Water', as a proportion of all land-use types, and with home location data buffered at 1000m.   Land use data were obtained from the Generalized land use database for England (GLUD) 2005 data at the 2001 Census Output Area level. Each home location polygon was then allocated an area weighted mean of the land use percentage coverage for the 2001 Census Output Areas intersecting the home location buffer. Data are only available for participants whose home location was in England.   Further details of the methods used to derive these data can be found in ~R15374~, where this field is derived from variables referred to as wa1000_0 and wa1000_1."	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=24502
24503						Yes - Continuous		Additional exposures > Local environment > Greenspace and coastal proximity	151	"Greenspace percentage, buffer 300m"	441029	461200	Complete	Continuous	percent	Data	Derived	Unisex	2	1		"The percentage of the home location buffer classed as 'Greenspace', as a proportion of all land-use types, and with home location data buffered at 300m.   Land use data were obtained from the Generalized land use database for England (GLUD) 2005 data at the 2001 Census Output Area level. Each home location polygon was then allocated an area weighted mean of the land use percentage coverage for the 2001 Census Output Areas intersecting the home location buffer. Data are only available for participants whose home location was in England.   Further details of the methods used to derive these data can be found in ~R15374~, where this field is derived from variables referred to as gs300_0 and gs300_1."	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=24503
24504						Yes - Continuous		Additional exposures > Local environment > Greenspace and coastal proximity	151	"Domestic garden percentage, buffer 300m"	441029	461200	Complete	Continuous	percent	Data	Derived	Unisex	2	1		"The percentage of the home location buffer classed as 'Domestic garden', as a proportion of all land-use types, and with home location data buffered at 300m.   Land use data were obtained from the Generalized land use database for England (GLUD) 2005 data at the 2001 Census Output Area level. Each home location polygon was then allocated an area weighted mean of the land use percentage coverage for the 2001 Census Output Areas intersecting the home location buffer. Data are only available for participants whose home location was in England.   Further details of the methods used to derive these data can be found in ~R15374~, where this field is derived from variables referred to as grd300_0 and grd300_1."	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=24504
24505						Yes - Continuous		Additional exposures > Local environment > Greenspace and coastal proximity	151	"Water percentage, buffer 300m"	441029	461200	Complete	Continuous	percent	Data	Derived	Unisex	2	1		"The percentage of the home location buffer classed as 'Water', as a proportion of all land-use types, and with home location data buffered at 300m.   Land use data were obtained from the Generalized land use database for England (GLUD) 2005 data at the 2001 Census Output Area level. Each home location polygon was then allocated an area weighted mean of the land use percentage coverage for the 2001 Census Output Areas intersecting the home location buffer. Data are only available for participants whose home location was in England.   Further details of the methods used to derive these data can be found in ~R15374~, where this field is derived from variables referred to as wa300_0 and wa300_1."	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=24505
24506						Yes - Continuous		Additional exposures > Local environment > Greenspace and coastal proximity	151	"Natural environment percentage, buffer 1000m"	497690	517871	Complete	Continuous	percent	Data	Derived	Unisex	2	1		"The percentage of the home location buffer classed as 'Natural Environment' in the Land Cover Map (LCM) 2007, and with home location data buffered at 1000m.   Land use data were obtained from the Land Cover Map, 2007, and the 23 land cover classes were reclassified to a binary classification; classes 1-2 ('Natural Environment'), and 22-23 ('Built environment').   Further details of the methods used to derive these data can be found in ~R15374~, where this field is derived from variables referred to as ne1000_0 and ne1000_1."	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=24506
24507						Yes - Continuous		Additional exposures > Local environment > Greenspace and coastal proximity	151	"Natural environment percentage, buffer 300m"	497690	517871	Complete	Continuous	percent	Data	Derived	Unisex	2	1		"The percentage of the home location buffer classed as 'Natural Environment' in the Land Cover Map (LCM) 2007, and with home location data buffered at 300m.   Land use data were obtained from the Land Cover Map, 2007, and the 23 land cover classes were reclassified to a binary classification; classes 1-2 ('Natural Environment'), and 22-23 ('Built environment').   Further details of the methods used to derive these data can be found in ~R15374~, where this field is derived from variables referred to as ne300_0 and ne300_1."	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=24507
24508						Yes - Continuous		Additional exposures > Local environment > Greenspace and coastal proximity	151	Distance (Euclidean) to coast	497690	517871	Complete	Continuous	Kilometres	Data	Derived	Unisex	2	1		"Distance from each UK Biobank participant's residence location to the coast, measured in Kilometres (Km).   Further details of the methods used to derive these data can be found in ~R15374~, where this field is derived from variables referred to as coastkm_0 and coastkm_1."	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=24508
25000						Yes - Continuous		UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI	110	Volumetric scaling from T1 head image to standard space	39772	41199	Accruing	Continuous	ratio	Data	Derived	Unisex	2	1		Volumetric scaling from the T1 head image to standard space	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25000
25001						Yes - Continuous		UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI	110	Volume of peripheral cortical grey matter (normalised for head size)	39772	41199	Accruing	Continuous	mm3	Data	Derived	Unisex	2	1		"Volume of peripheral cortical grey matter (from T1 brain image, normalised for head size)"	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25001
25002						Yes - Continuous		UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI	110	Volume of peripheral cortical grey matter	39772	41199	Accruing	Continuous	mm3	Data	Derived	Unisex	2	1		Volume of peripheral cortical grey matter (from T1 brain image)	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25002
25003						Yes - Continuous		UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI	110	Volume of ventricular cerebrospinal fluid (normalised for head size)	39772	41199	Accruing	Continuous	mm3	Data	Derived	Unisex	2	1		"Volume of ventricular cerebrospinal fluid (from T1 brain image, normalised for head size)"	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25003
25004						Yes - Continuous		UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI	110	Volume of ventricular cerebrospinal fluid	39772	41199	Accruing	Continuous	mm3	Data	Derived	Unisex	2	1		Volume of ventricular cerebrospinal fluid (from T1 brain image)	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25004
25005						Yes - Continuous		UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI	110	Volume of grey matter (normalised for head size)	39772	41199	Accruing	Continuous	mm3	Data	Derived	Unisex	2	1		"Volume of grey matter (from T1 brain image, normalised for head size)"	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25005
25006						Yes - Continuous		UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI	110	Volume of grey matter	39772	41199	Accruing	Continuous	mm3	Data	Derived	Unisex	2	1		Volume of grey matter (from T1 brain image)	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25006
25007						Yes - Continuous		UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI	110	Volume of white matter (normalised for head size)	39772	41199	Accruing	Continuous	mm3	Data	Derived	Unisex	2	1		"Volume of white matter (from T1 brain image, normalised for head size)"	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25007
25008						Yes - Continuous		UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI	110	Volume of white matter	39772	41199	Accruing	Continuous	mm3	Data	Derived	Unisex	2	1		Volume of white matter (from T1 brain image)	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25008
25009						Yes - Continuous		UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI	110	"Volume of brain, grey+white matter (normalised for head size)"	39772	41199	Accruing	Continuous	mm3	Data	Derived	Unisex	2	1		"Volume of brain, grey+white, from T1 brain image, normalised for head size"	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25009
25010						Yes - Continuous		UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI	110	"Volume of brain, grey+white matter"	39772	41199	Accruing	Continuous	mm3	Data	Derived	Unisex	2	1		"Volume of brain, grey+white, from T1 brain image"	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25010
25011						Yes - Continuous		UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Subcortical volumes (FIRST)	1102	Volume of thalamus (left)	39755	41182	Accruing	Continuous	mm3	Data	Derived	Unisex	2	1		Volume of left thalamus (from T1 brain image)	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25011
25012						Yes - Continuous		UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Subcortical volumes (FIRST)	1102	Volume of thalamus (right)	39755	41182	Accruing	Continuous	mm3	Data	Derived	Unisex	2	1		Volume of right thalamus (from T1 brain image)	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25012
25013						Yes - Continuous		UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Subcortical volumes (FIRST)	1102	Volume of caudate (left)	39755	41182	Accruing	Continuous	mm3	Data	Derived	Unisex	2	1		Volume of left caudate (from T1 brain image)	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25013
25014						Yes - Continuous		UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Subcortical volumes (FIRST)	1102	Volume of caudate (right)	39755	41182	Accruing	Continuous	mm3	Data	Derived	Unisex	2	1		Volume of right caudate (from T1 brain image)	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25014
25015						Yes - Continuous		UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Subcortical volumes (FIRST)	1102	Volume of putamen (left)	39755	41182	Accruing	Continuous	mm3	Data	Derived	Unisex	2	1		Volume of left putamen (from T1 brain image)	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25015
25016						Yes - Continuous		UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Subcortical volumes (FIRST)	1102	Volume of putamen (right)	39755	41182	Accruing	Continuous	mm3	Data	Derived	Unisex	2	1		Volume of right putamen (from T1 brain image)	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25016
25017						Yes - Continuous		UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Subcortical volumes (FIRST)	1102	Volume of pallidum (left)	39755	41182	Accruing	Continuous	mm3	Data	Derived	Unisex	2	1		Volume of left pallidum (from T1 brain image)	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25017
25018						Yes - Continuous		UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Subcortical volumes (FIRST)	1102	Volume of pallidum (right)	39755	41182	Accruing	Continuous	mm3	Data	Derived	Unisex	2	1		Volume of right pallidum (from T1 brain image)	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25018
25019						Yes - Continuous		UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Subcortical volumes (FIRST)	1102	Volume of hippocampus (left)	39755	41182	Accruing	Continuous	mm3	Data	Derived	Unisex	2	1		Volume of left hippocampus (from T1 brain image)	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25019
25020						Yes - Continuous		UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Subcortical volumes (FIRST)	1102	Volume of hippocampus (right)	39755	41182	Accruing	Continuous	mm3	Data	Derived	Unisex	2	1		Volume of right hippocampus (from T1 brain image)	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25020
25021						Yes - Continuous		UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Subcortical volumes (FIRST)	1102	Volume of amygdala (left)	39755	41182	Accruing	Continuous	mm3	Data	Derived	Unisex	2	1		Volume of left amygdala (from T1 brain image)	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25021
25022						Yes - Continuous		UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Subcortical volumes (FIRST)	1102	Volume of amygdala (right)	39755	41182	Accruing	Continuous	mm3	Data	Derived	Unisex	2	1		Volume of right amygdala (from T1 brain image)	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25022
25023						Yes - Continuous		UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Subcortical volumes (FIRST)	1102	Volume of accumbens (left)	39755	41182	Accruing	Continuous	mm3	Data	Derived	Unisex	2	1		Volume of left accumbens (from T1 brain image)	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25023
25024						Yes - Continuous		UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Subcortical volumes (FIRST)	1102	Volume of accumbens (right)	39755	41182	Accruing	Continuous	mm3	Data	Derived	Unisex	2	1		Volume of right accumbens (from T1 brain image)	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25024
25025						Yes - Continuous		UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI	110	Volume of brain stem + 4th ventricle	39755	41182	Accruing	Continuous	mm3	Data	Derived	Unisex	2	1		Volume of brain stem + 4th ventricle (from T1 brain image)	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25025
25026						Yes - Continuous		UK Biobank Assessment Centre > Imaging > Brain MRI > Susceptibility weighted brain MRI	109	Median T2star in thalamus (left)	35962	37331	Accruing	Continuous	ms	Data	Derived	Unisex	2	1		Median T2star in left thalamus (from SWI data)	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25026
25027						Yes - Continuous		UK Biobank Assessment Centre > Imaging > Brain MRI > Susceptibility weighted brain MRI	109	Median T2star in thalamus (right)	35962	37331	Accruing	Continuous	ms	Data	Derived	Unisex	2	1		Median T2star in right thalamus (from SWI data)	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25027
25028						Yes - Continuous		UK Biobank Assessment Centre > Imaging > Brain MRI > Susceptibility weighted brain MRI	109	Median T2star in caudate (left)	35962	37331	Accruing	Continuous	ms	Data	Derived	Unisex	2	1		Median T2star in left caudate (from SWI data)	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25028
