FieldID	Field	action
26936	Area of medialorbitofrontal (left hemisphere)	added
26937	Area of middletemporal (left hemisphere)	added
26938	Area of parahippocampal (left hemisphere)	added
26939	Area of paracentral (left hemisphere)	added
26940	Area of parsopercularis (left hemisphere)	added
26941	Area of parsorbitalis (left hemisphere)	added
26942	Area of parstriangularis (left hemisphere)	added
26943	Area of pericalcarine (left hemisphere)	added
26944	Area of postcentral (left hemisphere)	added
26945	Area of posteriorcingulate (left hemisphere)	added
26946	Area of precentral (left hemisphere)	added
26947	Area of precuneus (left hemisphere)	added
26948	Area of rostralanteriorcingulate (left hemisphere)	added
26949	Area of rostralmiddlefrontal (left hemisphere)	added
26950	Area of superiorfrontal (left hemisphere)	added
26951	Area of superiorparietal (left hemisphere)	added
26952	Area of superiortemporal (left hemisphere)	added
26953	Area of supramarginal (left hemisphere)	added
26954	Area of frontalpole (left hemisphere)	added
26955	Area of transversetemporal (left hemisphere)	added
26956	Area of TotalSurface (right hemisphere)	added
26957	Area of bankssts (right hemisphere)	added
26958	Area of caudalanteriorcingulate (right hemisphere)	added
26959	Area of caudalmiddlefrontal (right hemisphere)	added
26960	Area of cuneus (right hemisphere)	added
26961	Area of entorhinal (right hemisphere)	added
26962	Area of fusiform (right hemisphere)	added
26963	Area of inferiorparietal (right hemisphere)	added
26964	Area of inferiortemporal (right hemisphere)	added
26965	Area of isthmuscingulate (right hemisphere)	added
26966	Area of lateraloccipital (right hemisphere)	added
26967	Area of lateralorbitofrontal (right hemisphere)	added
26968	Area of lingual (right hemisphere)	added
26969	Area of medialorbitofrontal (right hemisphere)	added
26970	Area of middletemporal (right hemisphere)	added
26971	Area of parahippocampal (right hemisphere)	added
26972	Area of paracentral (right hemisphere)	added
26973	Area of parsopercularis (right hemisphere)	added
26974	Area of parsorbitalis (right hemisphere)	added
26975	Area of parstriangularis (right hemisphere)	added
26976	Area of pericalcarine (right hemisphere)	added
26977	Area of postcentral (right hemisphere)	added
26978	Area of posteriorcingulate (right hemisphere)	added
26979	Area of precentral (right hemisphere)	added
26980	Area of precuneus (right hemisphere)	added
26981	Area of rostralanteriorcingulate (right hemisphere)	added
26982	Area of rostralmiddlefrontal (right hemisphere)	added
26983	Area of superiorfrontal (right hemisphere)	added
26984	Area of superiorparietal (right hemisphere)	added
26985	Area of superiortemporal (right hemisphere)	added
26986	Area of supramarginal (right hemisphere)	added
26987	Area of frontalpole (right hemisphere)	added
26988	Area of transversetemporal (right hemisphere)	added
26989	Grey-white contrast in unknown (left hemisphere)	added
26990	Grey-white contrast in bankssts (left hemisphere)	added
26991	Grey-white contrast in caudalanteriorcingulate (left hemisphere)	added
26992	Grey-white contrast in caudalmiddlefrontal (left hemisphere)	added
26993	Grey-white contrast in cuneus (left hemisphere)	added
26994	Grey-white contrast in entorhinal (left hemisphere)	added
26995	Grey-white contrast in fusiform (left hemisphere)	added
26996	Grey-white contrast in inferiorparietal (left hemisphere)	added
26997	Grey-white contrast in inferiortemporal (left hemisphere)	added
26998	Grey-white contrast in isthmuscingulate (left hemisphere)	added
26999	Grey-white contrast in lateraloccipital (left hemisphere)	added
27000	Grey-white contrast in lateralorbitofrontal (left hemisphere)	added
27001	Grey-white contrast in lingual (left hemisphere)	added
27002	Grey-white contrast in medialorbitofrontal (left hemisphere)	added
27003	Grey-white contrast in middletemporal (left hemisphere)	added
27004	Grey-white contrast in parahippocampal (left hemisphere)	added
27005	Grey-white contrast in paracentral (left hemisphere)	added
27006	Grey-white contrast in parsopercularis (left hemisphere)	added
27007	Grey-white contrast in parsorbitalis (left hemisphere)	added
27008	Grey-white contrast in parstriangularis (left hemisphere)	added
27009	Grey-white contrast in pericalcarine (left hemisphere)	added
27010	Grey-white contrast in postcentral (left hemisphere)	added
27011	Grey-white contrast in posteriorcingulate (left hemisphere)	added
27012	Grey-white contrast in precentral (left hemisphere)	added
27013	Grey-white contrast in precuneus (left hemisphere)	added
27014	Grey-white contrast in rostralanteriorcingulate (left hemisphere)	added
27015	Grey-white contrast in rostralmiddlefrontal (left hemisphere)	added
27016	Grey-white contrast in superiorfrontal (left hemisphere)	added
27017	Grey-white contrast in superiorparietal (left hemisphere)	added
27018	Grey-white contrast in superiortemporal (left hemisphere)	added
27019	Grey-white contrast in supramarginal (left hemisphere)	added
27020	Grey-white contrast in frontalpole (left hemisphere)	added
27021	Grey-white contrast in temporalpole (left hemisphere)	added
27022	Grey-white contrast in transversetemporal (left hemisphere)	added
27023	Grey-white contrast in insula (left hemisphere)	added
27024	Grey-white contrast in unknown (right hemisphere)	added
27025	Grey-white contrast in bankssts (right hemisphere)	added
27026	Grey-white contrast in caudalanteriorcingulate (right hemisphere)	added
27027	Grey-white contrast in caudalmiddlefrontal (right hemisphere)	added
27028	Grey-white contrast in cuneus (right hemisphere)	added
27029	Grey-white contrast in entorhinal (right hemisphere)	added
27030	Grey-white contrast in fusiform (right hemisphere)	added
27031	Grey-white contrast in inferiorparietal (right hemisphere)	added
27032	Grey-white contrast in inferiortemporal (right hemisphere)	added
27033	Grey-white contrast in isthmuscingulate (right hemisphere)	added
27034	Grey-white contrast in lateraloccipital (right hemisphere)	added
27035	Grey-white contrast in lateralorbitofrontal (right hemisphere)	added
27036	Grey-white contrast in lingual (right hemisphere)	added
27037	Grey-white contrast in medialorbitofrontal (right hemisphere)	added
27038	Grey-white contrast in middletemporal (right hemisphere)	added
27039	Grey-white contrast in parahippocampal (right hemisphere)	added
27040	Grey-white contrast in paracentral (right hemisphere)	added
27041	Grey-white contrast in parsopercularis (right hemisphere)	added
27042	Grey-white contrast in parsorbitalis (right hemisphere)	added
27043	Grey-white contrast in parstriangularis (right hemisphere)	added
27044	Grey-white contrast in pericalcarine (right hemisphere)	added
27045	Grey-white contrast in postcentral (right hemisphere)	added
27046	Grey-white contrast in posteriorcingulate (right hemisphere)	added
27047	Grey-white contrast in precentral (right hemisphere)	added
27048	Grey-white contrast in precuneus (right hemisphere)	added
27049	Grey-white contrast in rostralanteriorcingulate (right hemisphere)	added
27050	Grey-white contrast in rostralmiddlefrontal (right hemisphere)	added
27051	Grey-white contrast in superiorfrontal (right hemisphere)	added
27052	Grey-white contrast in superiorparietal (right hemisphere)	added
27053	Grey-white contrast in superiortemporal (right hemisphere)	added
27054	Grey-white contrast in supramarginal (right hemisphere)	added
27055	Grey-white contrast in frontalpole (right hemisphere)	added
27056	Grey-white contrast in temporalpole (right hemisphere)	added
27057	Grey-white contrast in transversetemporal (right hemisphere)	added
27058	Grey-white contrast in insula (right hemisphere)	added
27059	Area of BA1 (left hemisphere)	added
27060	Area of BA2 (left hemisphere)	added
27061	Area of BA3a (left hemisphere)	added
27062	Area of BA3b (left hemisphere)	added
27063	Area of BA4a (left hemisphere)	added
27064	Area of BA4p (left hemisphere)	added
27065	Area of BA6 (left hemisphere)	added
27066	Area of BA44 (left hemisphere)	added
27067	Area of BA45 (left hemisphere)	added
27068	Area of V1 (left hemisphere)	added
27069	Area of V2 (left hemisphere)	added
27070	Area of MT (left hemisphere)	added
27071	Area of perirhinal (left hemisphere)	added
27072	Area of entorhinal (left hemisphere)	added
27073	Mean thickness of BA1 (left hemisphere)	added
27074	Mean thickness of BA2 (left hemisphere)	added
27075	Mean thickness of BA3a (left hemisphere)	added
27076	Mean thickness of BA3b (left hemisphere)	added
27077	Mean thickness of BA4a (left hemisphere)	added
27078	Mean thickness of BA4p (left hemisphere)	added
27079	Mean thickness of BA6 (left hemisphere)	added
27080	Mean thickness of BA44 (left hemisphere)	added
27081	Mean thickness of BA45 (left hemisphere)	added
27082	Mean thickness of V1 (left hemisphere)	added
27083	Mean thickness of V2 (left hemisphere)	added
27084	Mean thickness of MT (left hemisphere)	added
27085	Mean thickness of perirhinal (left hemisphere)	added
27086	Mean thickness of entorhinal (left hemisphere)	added
27087	Volume of BA1 (left hemisphere)	added
27088	Volume of BA2 (left hemisphere)	added
27089	Volume of BA3a (left hemisphere)	added
27090	Volume of BA3b (left hemisphere)	added
27091	Volume of BA4a (left hemisphere)	added
27092	Volume of BA4p (left hemisphere)	added
27093	Volume of BA6 (left hemisphere)	added
27094	Volume of BA44 (left hemisphere)	added
27095	Volume of BA45 (left hemisphere)	added
27096	Volume of V1 (left hemisphere)	added
27097	Volume of V2 (left hemisphere)	added
27098	Volume of MT (left hemisphere)	added
27099	Volume of perirhinal (left hemisphere)	added
27100	Volume of entorhinal (left hemisphere)	added
27101	Area of BA1 (right hemisphere)	added
27102	Area of BA2 (right hemisphere)	added
27103	Area of BA3a (right hemisphere)	added
27104	Area of BA3b (right hemisphere)	added
27105	Area of BA4a (right hemisphere)	added
27106	Area of BA4p (right hemisphere)	added
27107	Area of BA6 (right hemisphere)	added
27108	Area of BA44 (right hemisphere)	added
27109	Area of BA45 (right hemisphere)	added
27110	Area of V1 (right hemisphere)	added
27111	Area of V2 (right hemisphere)	added
27112	Area of MT (right hemisphere)	added
27113	Area of perirhinal (right hemisphere)	added
27114	Area of entorhinal (right hemisphere)	added
27115	Mean thickness of BA1 (right hemisphere)	added
27116	Mean thickness of BA2 (right hemisphere)	added
27117	Mean thickness of BA3a (right hemisphere)	added
27118	Mean thickness of BA3b (right hemisphere)	added
27119	Mean thickness of BA4a (right hemisphere)	added
27120	Mean thickness of BA4p (right hemisphere)	added
27121	Mean thickness of BA6 (right hemisphere)	added
27122	Mean thickness of BA44 (right hemisphere)	added
27123	Mean thickness of BA45 (right hemisphere)	added
27124	Mean thickness of V1 (right hemisphere)	added
27125	Mean thickness of V2 (right hemisphere)	added
27126	Mean thickness of MT (right hemisphere)	added
27127	Mean thickness of perirhinal (right hemisphere)	added
27128	Mean thickness of entorhinal (right hemisphere)	added
27129	Volume of BA1 (right hemisphere)	added
27130	Volume of BA2 (right hemisphere)	added
27131	Volume of BA3a (right hemisphere)	added
27132	Volume of BA3b (right hemisphere)	added
27133	Volume of BA4a (right hemisphere)	added
27134	Volume of BA4p (right hemisphere)	added
27135	Volume of BA6 (right hemisphere)	added
27136	Volume of BA44 (right hemisphere)	added
27137	Volume of BA45 (right hemisphere)	added
27138	Volume of V1 (right hemisphere)	added
27139	Volume of V2 (right hemisphere)	added
27140	Volume of MT (right hemisphere)	added
27141	Volume of perirhinal (right hemisphere)	added
27142	Volume of entorhinal (right hemisphere)	added
27143	Area of caudalanteriorcingulate (left hemisphere)	added
27144	Area of caudalmiddlefrontal (left hemisphere)	added
27145	Area of cuneus (left hemisphere)	added
27146	Area of entorhinal (left hemisphere)	added
27147	Area of fusiform (left hemisphere)	added
27148	Area of inferiorparietal (left hemisphere)	added
27149	Area of inferiortemporal (left hemisphere)	added
27150	Area of isthmuscingulate (left hemisphere)	added
27151	Area of lateraloccipital (left hemisphere)	added
27152	Area of lateralorbitofrontal (left hemisphere)	added
27153	Area of lingual (left hemisphere)	added
27154	Area of medialorbitofrontal (left hemisphere)	added
27155	Area of middletemporal (left hemisphere)	added
27156	Area of parahippocampal (left hemisphere)	added
27157	Area of paracentral (left hemisphere)	added
27158	Area of parsopercularis (left hemisphere)	added
27159	Area of parsorbitalis (left hemisphere)	added
27160	Area of parstriangularis (left hemisphere)	added
27161	Area of pericalcarine (left hemisphere)	added
27162	Area of postcentral (left hemisphere)	added
27163	Area of posteriorcingulate (left hemisphere)	added
27164	Area of precentral (left hemisphere)	added
27165	Area of precuneus (left hemisphere)	added
27166	Area of rostralanteriorcingulate (left hemisphere)	added
27167	Area of rostralmiddlefrontal (left hemisphere)	added
27168	Area of superiorfrontal (left hemisphere)	added
27169	Area of superiorparietal (left hemisphere)	added
27170	Area of superiortemporal (left hemisphere)	added
27171	Area of supramarginal (left hemisphere)	added
27172	Area of transversetemporal (left hemisphere)	added
27173	Area of insula (left hemisphere)	added
27174	Mean thickness of caudalanteriorcingulate (left hemisphere)	added
27175	Mean thickness of caudalmiddlefrontal (left hemisphere)	added
27176	Mean thickness of cuneus (left hemisphere)	added
27177	Mean thickness of entorhinal (left hemisphere)	added
27178	Mean thickness of fusiform (left hemisphere)	added
27179	Mean thickness of inferiorparietal (left hemisphere)	added
27180	Mean thickness of inferiortemporal (left hemisphere)	added
27181	Mean thickness of isthmuscingulate (left hemisphere)	added
27182	Mean thickness of lateraloccipital (left hemisphere)	added
27183	Mean thickness of lateralorbitofrontal (left hemisphere)	added
27184	Mean thickness of lingual (left hemisphere)	added
27185	Mean thickness of medialorbitofrontal (left hemisphere)	added
27186	Mean thickness of middletemporal (left hemisphere)	added
27187	Mean thickness of parahippocampal (left hemisphere)	added
27188	Mean thickness of paracentral (left hemisphere)	added
27189	Mean thickness of parsopercularis (left hemisphere)	added
27190	Mean thickness of parsorbitalis (left hemisphere)	added
27191	Mean thickness of parstriangularis (left hemisphere)	added
27192	Mean thickness of pericalcarine (left hemisphere)	added
27193	Mean thickness of postcentral (left hemisphere)	added
27194	Mean thickness of posteriorcingulate (left hemisphere)	added
27195	Mean thickness of precentral (left hemisphere)	added
27196	Mean thickness of precuneus (left hemisphere)	added
27197	Mean thickness of rostralanteriorcingulate (left hemisphere)	added
27198	Mean thickness of rostralmiddlefrontal (left hemisphere)	added
27199	Mean thickness of superiorfrontal (left hemisphere)	added
27200	Mean thickness of superiorparietal (left hemisphere)	added
27201	Mean thickness of superiortemporal (left hemisphere)	added
27202	Mean thickness of supramarginal (left hemisphere)	added
27203	Mean thickness of transversetemporal (left hemisphere)	added
27204	Mean thickness of insula (left hemisphere)	added
27205	Volume of caudalanteriorcingulate (left hemisphere)	added
27206	Volume of caudalmiddlefrontal (left hemisphere)	added
27207	Volume of cuneus (left hemisphere)	added
27208	Volume of entorhinal (left hemisphere)	added
27209	Volume of fusiform (left hemisphere)	added
27210	Volume of inferiorparietal (left hemisphere)	added
27211	Volume of inferiortemporal (left hemisphere)	added
27212	Volume of isthmuscingulate (left hemisphere)	added
27213	Volume of lateraloccipital (left hemisphere)	added
27214	Volume of lateralorbitofrontal (left hemisphere)	added
27215	Volume of lingual (left hemisphere)	added
27216	Volume of medialorbitofrontal (left hemisphere)	added
27217	Volume of middletemporal (left hemisphere)	added
27218	Volume of parahippocampal (left hemisphere)	added
27219	Volume of paracentral (left hemisphere)	added
27220	Volume of parsopercularis (left hemisphere)	added
27221	Volume of parsorbitalis (left hemisphere)	added
27222	Volume of parstriangularis (left hemisphere)	added
27223	Volume of pericalcarine (left hemisphere)	added
27224	Volume of postcentral (left hemisphere)	added
27225	Volume of posteriorcingulate (left hemisphere)	added
27226	Volume of precentral (left hemisphere)	added
27227	Volume of precuneus (left hemisphere)	added
27228	Volume of rostralanteriorcingulate (left hemisphere)	added
27229	Volume of rostralmiddlefrontal (left hemisphere)	added
27230	Volume of superiorfrontal (left hemisphere)	added
27231	Volume of superiorparietal (left hemisphere)	added
27232	Volume of superiortemporal (left hemisphere)	added
27233	Volume of supramarginal (left hemisphere)	added
27234	Volume of transversetemporal (left hemisphere)	added
27235	Volume of insula (left hemisphere)	added
27236	Area of caudalanteriorcingulate (right hemisphere)	added
27237	Area of caudalmiddlefrontal (right hemisphere)	added
27238	Area of cuneus (right hemisphere)	added
27239	Area of entorhinal (right hemisphere)	added
27240	Area of fusiform (right hemisphere)	added
27241	Area of inferiorparietal (right hemisphere)	added
27242	Area of inferiortemporal (right hemisphere)	added
27243	Area of isthmuscingulate (right hemisphere)	added
27244	Area of lateraloccipital (right hemisphere)	added
27245	Area of lateralorbitofrontal (right hemisphere)	added
27246	Area of lingual (right hemisphere)	added
27247	Area of medialorbitofrontal (right hemisphere)	added
27248	Area of middletemporal (right hemisphere)	added
27249	Area of parahippocampal (right hemisphere)	added
27250	Area of paracentral (right hemisphere)	added
27251	Area of parsopercularis (right hemisphere)	added
27252	Area of parsorbitalis (right hemisphere)	added
27253	Area of parstriangularis (right hemisphere)	added
27254	Area of pericalcarine (right hemisphere)	added
27255	Area of postcentral (right hemisphere)	added
27256	Area of posteriorcingulate (right hemisphere)	added
27257	Area of precentral (right hemisphere)	added
27258	Area of precuneus (right hemisphere)	added
27259	Area of rostralanteriorcingulate (right hemisphere)	added
27260	Area of rostralmiddlefrontal (right hemisphere)	added
27261	Area of superiorfrontal (right hemisphere)	added
27262	Area of superiorparietal (right hemisphere)	added
27263	Area of superiortemporal (right hemisphere)	added
27264	Area of supramarginal (right hemisphere)	added
27265	Area of transversetemporal (right hemisphere)	added
27266	Area of insula (right hemisphere)	added
27267	Mean thickness of caudalanteriorcingulate (right hemisphere)	added
27268	Mean thickness of caudalmiddlefrontal (right hemisphere)	added
27269	Mean thickness of cuneus (right hemisphere)	added
27270	Mean thickness of entorhinal (right hemisphere)	added
27271	Mean thickness of fusiform (right hemisphere)	added
27272	Mean thickness of inferiorparietal (right hemisphere)	added
27273	Mean thickness of inferiortemporal (right hemisphere)	added
27274	Mean thickness of isthmuscingulate (right hemisphere)	added
27275	Mean thickness of lateraloccipital (right hemisphere)	added
27276	Mean thickness of lateralorbitofrontal (right hemisphere)	added
27277	Mean thickness of lingual (right hemisphere)	added
27278	Mean thickness of medialorbitofrontal (right hemisphere)	added
27279	Mean thickness of middletemporal (right hemisphere)	added
27280	Mean thickness of parahippocampal (right hemisphere)	added
27281	Mean thickness of paracentral (right hemisphere)	added
27282	Mean thickness of parsopercularis (right hemisphere)	added
27283	Mean thickness of parsorbitalis (right hemisphere)	added
27284	Mean thickness of parstriangularis (right hemisphere)	added
27285	Mean thickness of pericalcarine (right hemisphere)	added
27286	Mean thickness of postcentral (right hemisphere)	added
27287	Mean thickness of posteriorcingulate (right hemisphere)	added
27288	Mean thickness of precentral (right hemisphere)	added
27289	Mean thickness of precuneus (right hemisphere)	added
27290	Mean thickness of rostralanteriorcingulate (right hemisphere)	added
27291	Mean thickness of rostralmiddlefrontal (right hemisphere)	added
27292	Mean thickness of superiorfrontal (right hemisphere)	added
27293	Mean thickness of superiorparietal (right hemisphere)	added
27294	Mean thickness of superiortemporal (right hemisphere)	added
27295	Mean thickness of supramarginal (right hemisphere)	added
27296	Mean thickness of transversetemporal (right hemisphere)	added
27297	Mean thickness of insula (right hemisphere)	added
27298	Volume of caudalanteriorcingulate (right hemisphere)	added
27299	Volume of caudalmiddlefrontal (right hemisphere)	added
27300	Volume of cuneus (right hemisphere)	added
27301	Volume of entorhinal (right hemisphere)	added
27302	Volume of fusiform (right hemisphere)	added
27303	Volume of inferiorparietal (right hemisphere)	added
27304	Volume of inferiortemporal (right hemisphere)	added
27305	Volume of isthmuscingulate (right hemisphere)	added
27306	Volume of lateraloccipital (right hemisphere)	added
27307	Volume of lateralorbitofrontal (right hemisphere)	added
27308	Volume of lingual (right hemisphere)	added
27309	Volume of medialorbitofrontal (right hemisphere)	added
27310	Volume of middletemporal (right hemisphere)	added
27311	Volume of parahippocampal (right hemisphere)	added
27312	Volume of paracentral (right hemisphere)	added
27313	Volume of parsopercularis (right hemisphere)	added
27314	Volume of parsorbitalis (right hemisphere)	added
27315	Volume of parstriangularis (right hemisphere)	added
27316	Volume of pericalcarine (right hemisphere)	added
27317	Volume of postcentral (right hemisphere)	added
27318	Volume of posteriorcingulate (right hemisphere)	added
27319	Volume of precentral (right hemisphere)	added
27320	Volume of precuneus (right hemisphere)	added
27321	Volume of rostralanteriorcingulate (right hemisphere)	added
27322	Volume of rostralmiddlefrontal (right hemisphere)	added
27323	Volume of superiorfrontal (right hemisphere)	added
27324	Volume of superiorparietal (right hemisphere)	added
27325	Volume of superiortemporal (right hemisphere)	added
27326	Volume of supramarginal (right hemisphere)	added
27327	Volume of transversetemporal (right hemisphere)	added
27328	Volume of insula (right hemisphere)	added
27329	Area of G+S-frontomargin (left hemisphere)	added
27330	Area of G+S-occipital-inf (left hemisphere)	added
27331	Area of G+S-paracentral (left hemisphere)	added
27332	Area of G+S-subcentral (left hemisphere)	added
27333	Area of G+S-transv-frontopol (left hemisphere)	added
27334	Area of G+S-cingul-Ant (left hemisphere)	added
27335	Area of G+S-cingul-Mid-Ant (left hemisphere)	added
27336	Area of G+S-cingul-Mid-Post (left hemisphere)	added
27337	Area of G-cingul-Post-dorsal (left hemisphere)	added
27338	Area of G-cingul-Post-ventral (left hemisphere)	added
27339	Area of G-cuneus (left hemisphere)	added
27340	Area of G-front-inf-Opercular (left hemisphere)	added
27341	Area of G-front-inf-Orbital (left hemisphere)	added
27342	Area of G-front-inf-Triangul (left hemisphere)	added
27343	Area of G-front-middle (left hemisphere)	added
27344	Area of G-front-sup (left hemisphere)	added
27345	Area of G-Ins-lg+S-cent-ins (left hemisphere)	added
27346	Area of G-insular-short (left hemisphere)	added
27347	Area of G-occipital-middle (left hemisphere)	added
27348	Area of G-occipital-sup (left hemisphere)	added
27349	Area of G-oc-temp-lat-fusifor (left hemisphere)	added
27350	Area of G-oc-temp-med-Lingual (left hemisphere)	added
27351	Area of G-oc-temp-med-Parahip (left hemisphere)	added
27352	Area of G-orbital (left hemisphere)	added
27353	Area of G-pariet-inf-Angular (left hemisphere)	added
27354	Area of G-pariet-inf-Supramar (left hemisphere)	added
27355	Area of G-parietal-sup (left hemisphere)	added
27356	Area of G-postcentral (left hemisphere)	added
27357	Area of G-precentral (left hemisphere)	added
27358	Area of G-precuneus (left hemisphere)	added
27359	Area of G-rectus (left hemisphere)	added
27360	Area of G-subcallosal (left hemisphere)	added
27361	Area of G-temp-sup-G-T-transv (left hemisphere)	added
27362	Area of G-temp-sup-Lateral (left hemisphere)	added
27363	Area of G-temp-sup-Plan-polar (left hemisphere)	added
27364	Area of G-temp-sup-Plan-tempo (left hemisphere)	added
27365	Area of G-temporal-inf (left hemisphere)	added
27366	Area of G-temporal-middle (left hemisphere)	added
27367	Area of Lat-Fis-ant-Horizont (left hemisphere)	added
27368	Area of Lat-Fis-ant-Vertical (left hemisphere)	added
27369	Area of Lat-Fis-post (left hemisphere)	added
27370	Area of Pole-occipital (left hemisphere)	added
27371	Area of Pole-temporal (left hemisphere)	added
27372	Area of S-calcarine (left hemisphere)	added
27373	Area of S-central (left hemisphere)	added
27374	Area of S-cingul-Marginalis (left hemisphere)	added
27375	Area of S-circular-insula-ant (left hemisphere)	added
27376	Area of S-circular-insula-inf (left hemisphere)	added
27377	Area of S-circular-insula-sup (left hemisphere)	added
27378	Area of S-collat-transv-ant (left hemisphere)	added
27379	Area of S-collat-transv-post (left hemisphere)	added
27380	Area of S-front-inf (left hemisphere)	added
27381	Area of S-front-middle (left hemisphere)	added
27382	Area of S-front-sup (left hemisphere)	added
27383	Area of S-interm-prim-Jensen (left hemisphere)	added
27384	Area of S-intrapariet+P-trans (left hemisphere)	added
27385	Area of S-oc-middle+Lunatus (left hemisphere)	added
27386	Area of S-oc-sup+transversal (left hemisphere)	added
27387	Area of S-occipital-ant (left hemisphere)	added
27388	Area of S-oc-temp-lat (left hemisphere)	added
27389	Area of S-oc-temp-med+Lingual (left hemisphere)	added
27390	Area of S-orbital-lateral (left hemisphere)	added
27391	Area of S-orbital-med-olfact (left hemisphere)	added
27392	Area of S-orbital-H-Shaped (left hemisphere)	added
27393	Area of S-parieto-occipital (left hemisphere)	added
27394	Area of S-pericallosal (left hemisphere)	added
27395	Area of S-postcentral (left hemisphere)	added
27396	Area of S-precentral-inf-part (left hemisphere)	added
27397	Area of S-precentral-sup-part (left hemisphere)	added
27398	Area of S-suborbital (left hemisphere)	added
27399	Area of S-subparietal (left hemisphere)	added
27400	Area of S-temporal-inf (left hemisphere)	added
27401	Area of S-temporal-sup (left hemisphere)	added
27402	Area of S-temporal-transverse (left hemisphere)	added
27403	Mean thickness of G+S-frontomargin (left hemisphere)	added
27404	Mean thickness of G+S-occipital-inf (left hemisphere)	added
27405	Mean thickness of G+S-paracentral (left hemisphere)	added
27406	Mean thickness of G+S-subcentral (left hemisphere)	added
27407	Mean thickness of G+S-transv-frontopol (left hemisphere)	added
27408	Mean thickness of G+S-cingul-Ant (left hemisphere)	added
27409	Mean thickness of G+S-cingul-Mid-Ant (left hemisphere)	added
27410	Mean thickness of G+S-cingul-Mid-Post (left hemisphere)	added
27411	Mean thickness of G-cingul-Post-dorsal (left hemisphere)	added
27412	Mean thickness of G-cingul-Post-ventral (left hemisphere)	added
27413	Mean thickness of G-cuneus (left hemisphere)	added
27414	Mean thickness of G-front-inf-Opercular (left hemisphere)	added
27415	Mean thickness of G-front-inf-Orbital (left hemisphere)	added
27416	Mean thickness of G-front-inf-Triangul (left hemisphere)	added
27417	Mean thickness of G-front-middle (left hemisphere)	added
27418	Mean thickness of G-front-sup (left hemisphere)	added
27419	Mean thickness of G-Ins-lg+S-cent-ins (left hemisphere)	added
27420	Mean thickness of G-insular-short (left hemisphere)	added
27421	Mean thickness of G-occipital-middle (left hemisphere)	added
27422	Mean thickness of G-occipital-sup (left hemisphere)	added
27423	Mean thickness of G-oc-temp-lat-fusifor (left hemisphere)	added
27424	Mean thickness of G-oc-temp-med-Lingual (left hemisphere)	added
27425	Mean thickness of G-oc-temp-med-Parahip (left hemisphere)	added
27426	Mean thickness of G-orbital (left hemisphere)	added
27427	Mean thickness of G-pariet-inf-Angular (left hemisphere)	added
27428	Mean thickness of G-pariet-inf-Supramar (left hemisphere)	added
27429	Mean thickness of G-parietal-sup (left hemisphere)	added
27430	Mean thickness of G-postcentral (left hemisphere)	added
27431	Mean thickness of G-precentral (left hemisphere)	added
27432	Mean thickness of G-precuneus (left hemisphere)	added
27433	Mean thickness of G-rectus (left hemisphere)	added
27434	Mean thickness of G-subcallosal (left hemisphere)	added
27435	Mean thickness of G-temp-sup-G-T-transv (left hemisphere)	added
27436	Mean thickness of G-temp-sup-Lateral (left hemisphere)	added
27437	Mean thickness of G-temp-sup-Plan-polar (left hemisphere)	added
27438	Mean thickness of G-temp-sup-Plan-tempo (left hemisphere)	added
27439	Mean thickness of G-temporal-inf (left hemisphere)	added
27440	Mean thickness of G-temporal-middle (left hemisphere)	added
27441	Mean thickness of Lat-Fis-ant-Horizont (left hemisphere)	added
27442	Mean thickness of Lat-Fis-ant-Vertical (left hemisphere)	added
27443	Mean thickness of Lat-Fis-post (left hemisphere)	added
27444	Mean thickness of Pole-occipital (left hemisphere)	added
27445	Mean thickness of Pole-temporal (left hemisphere)	added
27446	Mean thickness of S-calcarine (left hemisphere)	added
27447	Mean thickness of S-central (left hemisphere)	added
27448	Mean thickness of S-cingul-Marginalis (left hemisphere)	added
27449	Mean thickness of S-circular-insula-ant (left hemisphere)	added
27450	Mean thickness of S-circular-insula-inf (left hemisphere)	added
27451	Mean thickness of S-circular-insula-sup (left hemisphere)	added
27452	Mean thickness of S-collat-transv-ant (left hemisphere)	added
27453	Mean thickness of S-collat-transv-post (left hemisphere)	added
27454	Mean thickness of S-front-inf (left hemisphere)	added
27455	Mean thickness of S-front-middle (left hemisphere)	added
27456	Mean thickness of S-front-sup (left hemisphere)	added
27457	Mean thickness of S-interm-prim-Jensen (left hemisphere)	added
27458	Mean thickness of S-intrapariet+P-trans (left hemisphere)	added
27459	Mean thickness of S-oc-middle+Lunatus (left hemisphere)	added
27460	Mean thickness of S-oc-sup+transversal (left hemisphere)	added
27461	Mean thickness of S-occipital-ant (left hemisphere)	added
27462	Mean thickness of S-oc-temp-lat (left hemisphere)	added
27463	Mean thickness of S-oc-temp-med+Lingual (left hemisphere)	added
27464	Mean thickness of S-orbital-lateral (left hemisphere)	added
27465	Mean thickness of S-orbital-med-olfact (left hemisphere)	added
27466	Mean thickness of S-orbital-H-Shaped (left hemisphere)	added
27467	Mean thickness of S-parieto-occipital (left hemisphere)	added
27468	Mean thickness of S-pericallosal (left hemisphere)	added
27469	Mean thickness of S-postcentral (left hemisphere)	added
27470	Mean thickness of S-precentral-inf-part (left hemisphere)	added
27471	Mean thickness of S-precentral-sup-part (left hemisphere)	added
27472	Mean thickness of S-suborbital (left hemisphere)	added
27473	Mean thickness of S-subparietal (left hemisphere)	added
