Path,Category,FieldID,Field,Participants,Items,Stability,ValueType,Units,ItemType,Strata,Sexed,Instances,Array,Coding,Notes,Link
UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health,100060,2050,Frequency of depressed mood in last 2 weeks,501616,572242,Complete,Categorical single,"",Data,Primary,Unisex,4,1,100484,"ACE touchscreen question ""Over the past two weeks, how often have you felt down, depressed or hopeless?"" If the participant activated the Help button they were shown the message:     Answer this question thinking about the past 2 weeks. If you are unsure, please provide an estimate or select Do not know.      ",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2050
UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health,100060,2060,Frequency of unenthusiasm / disinterest in last 2 weeks,501615,572241,Complete,Categorical single,"",Data,Primary,Unisex,4,1,100484,"ACE touchscreen question ""Over the past two weeks, how often have you had little interest or pleasure in doing things?"" If the participant activated the Help button they were shown the message:     Answer this question thinking about the past 2 weeks. If you are unsure, please provide an estimate or select Do not know.      ",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2060
UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health,100060,2070,Frequency of tenseness / restlessness in last 2 weeks,501614,572240,Complete,Categorical single,"",Data,Primary,Unisex,4,1,100484,"ACE touchscreen question ""Over the past two weeks, how often have you felt tense, fidgety or restless?"" If the participant activated the Help button they were shown the message:     Answer this question thinking about the past 2 weeks. If you are unsure, please provide an estimate or select Do not know.      ",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2070
UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health,100060,2080,Frequency of tiredness / lethargy in last 2 weeks,501613,572239,Complete,Categorical single,"",Data,Primary,Unisex,4,1,100484,"ACE touchscreen question ""Over the past two weeks, how often have you felt tired or had little energy?"" If the participant activated the Help button they were shown the message:     Answer this question thinking about the past 2 weeks. If you are unsure, please provide an estimate or select Do not know.      ",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2080
UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health,100060,2090,"Seen doctor (GP) for nerves, anxiety, tension or depression",501612,572238,Complete,Categorical single,"",Data,Primary,Unisex,4,1,100349,"ACE touchscreen question ""Have you ever seen a general practitioner (GP) for nerves, anxiety, tension or depression?""",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2090
UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health,100060,2100,"Seen a psychiatrist for nerves, anxiety, tension or depression",501612,572238,Complete,Categorical single,"",Data,Primary,Unisex,4,1,100349,"ACE touchscreen question ""Have you ever seen a psychiatrist for nerves, anxiety, tension or depression?""",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2100
UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Social support,100061,2110,Able to confide,501611,572237,Complete,Categorical single,"",Data,Primary,Unisex,4,1,100501,"ACE touchscreen question ""How often are you able to confide in someone close to you?""",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2110
UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sexual factors,100056,2129,Answered sexual history questions,501609,572235,Complete,Categorical single,"",Data,Primary,Unisex,4,1,100503,"ACE touchscreen question ""The next section contains questions about your sexual history. If you feel that a question is too sensitive, you can skip the question or skip the entire section if you prefer.""",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2129
UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sexual factors,100056,2139,Age first had sexual intercourse,456560,519823,Complete,Integer,years,Data,Primary,Unisex,4,1,100504,"ACE touchscreen question ""What was your age when you first had sexual intercourse? (Sexual intercourse includes vaginal, oral or anal intercourse)"" The following checks were performed:  If answer   If answer > Participants age then rejected  If answer    If the participant activated the Help button they were shown the message:     Sexual intercourse includes vaginal, oral or anal intercourse. If you are unsure, please provide an estimate or select Do not know.     ",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2139
UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sexual factors,100056,2149,Lifetime number of sexual partners,452365,515019,Complete,Integer,"",Data,Primary,Unisex,4,1,100291,"ACE touchscreen question ""About how many sexual partners have you had in your lifetime?"" The following checks were performed:  If answer   If answer > 99997 then rejected  If answer > 99 then participant asked to confirm   If the participant activated the Help button they were shown the message:     Sexual intercourse includes vaginal, oral or anal intercourse. If you are unsure, please provide an estimate or select Do not know.      ~F2149~ was collected from all participants except those who indicated they never had had sexual intercourse, as defined by their answers to ~F2139~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2149
UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sexual factors,100056,2159,Ever had same-sex intercourse,452365,515019,Complete,Categorical single,"",Data,Primary,Unisex,4,1,100352,"ACE touchscreen question ""Have you ever had sexual intercourse with someone of the same sex?"" If the participant activated the Help button they were shown the message:     Sexual intercourse includes vaginal, oral or anal intercourse.      ~F2159~ was collected from all participants except those who indicated they never had had sexual intercourse, as defined by their answers to ~F2139~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2159
UK Biobank Assessment Centre > Touchscreen > Health and medical history > General health,100042,2178,Overall health rating,501605,572231,Complete,Categorical single,"",Data,Primary,Unisex,4,1,100508,"ACE touchscreen question ""In general how would you rate your overall health?""",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2178
UK Biobank Assessment Centre > Touchscreen > Health and medical history > General health,100042,2188,"Long-standing illness, disability or infirmity",501605,572231,Complete,Categorical single,"",Data,Primary,Unisex,4,1,100349,"ACE touchscreen question ""Do you have any long-standing illness, disability or infirmity?""",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2188
UK Biobank Assessment Centre > Touchscreen > Health and medical history > Eyesight,100041,2207,Wears glasses or contact lenses,501605,572231,Complete,Categorical single,"",Data,Primary,Unisex,4,1,100352,"ACE touchscreen question ""Do you wear glasses or contact lenses to correct your vision?""",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2207
UK Biobank Assessment Centre > Touchscreen > Health and medical history > Eyesight,100041,2217,Age started wearing glasses or contact lenses,445516,506507,Complete,Integer,"",Data,Primary,Unisex,4,1,100291,"ACE touchscreen question ""What age did you first start to wear glasses or contact lenses?"" The following checks were performed:  If answer   If answer > Participants age then rejected  If answer    If the participant activated the Help button they were shown the message:     If you are unsure, please provide an estimate or select Do not know.      ~F2217~ was collected from participants who indicated they wear glasses or contact lenses to correct their vision, as defined by their answers to ~F2207~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2217
UK Biobank Assessment Centre > Touchscreen > Health and medical history > Eyesight,100041,2227,Other eye problems,501604,572230,Complete,Categorical single,"",Data,Primary,Unisex,4,1,100352,"ACE touchscreen question ""Do you have any other problems with your eyes or eyesight?""",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2227
UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Electronic device use,100053,2237,Plays computer games,501604,572230,Complete,Categorical single,"",Data,Primary,Unisex,4,1,100639,"ACE touchscreen question ""Do you play computer games?"" If the participant activated the Help button they were shown the message:     Answer this question thinking about the past year.     ",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2237
UK Biobank Assessment Centre > Touchscreen > Health and medical history > Hearing,100043,2247,Hearing difficulty/problems,498717,568460,Complete,Categorical single,"",Data,Primary,Unisex,4,1,100631,"ACE touchscreen question ""Do you have any difficulty with your hearing?"" The option to identify oneself as completely deaf was added in 2009 alongside the introduction of the speech-in-noise test.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2247
UK Biobank Assessment Centre > Touchscreen > Health and medical history > Hearing,100043,2257,Hearing difficulty/problems with background noise,501474,572086,Complete,Categorical single,"",Data,Primary,Unisex,4,1,100349,"ACE touchscreen question ""Do you find it difficult to follow a conversation if there is background noise (such as TV, radio, children playing)?"" ~F2257~ was collected from all participants except those who indicated they were completely deaf, as defined by their answers to ~F2247~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2257
UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sun exposure,100055,2267,Use of sun/uv protection,498717,568460,Complete,Categorical single,"",Data,Primary,Unisex,4,1,100536,"ACE touchscreen question ""Do you wear sun protection (e.g. sunscreen lotion, hat) when you spend time outdoors in the summer?"" If the participant activated the Help button they were shown the message:     If you are unsure, please provide an estimate or select Do not know.     ",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2267
UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sun exposure,100055,2277,Frequency of solarium/sunlamp use,498717,568460,Complete,Integer,times/year,Data,Primary,Unisex,4,1,100537,"ACE touchscreen question ""How many times a year would you use a solarium or sunlamp?"" The following checks were performed:  If answer > 9999 then rejected  If answer > 400 then participant asked to confirm   If the participant activated the Help button they were shown the message:     If you are unsure, please provide an estimate or select Do not know.     ",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2277
UK Biobank Assessment Centre > Touchscreen > Health and medical history > General health,100042,2296,Falls in the last year,501604,572230,Complete,Categorical single,"",Data,Primary,Unisex,4,1,100539,"ACE touchscreen question ""In the last year have you had any falls?""",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2296
UK Biobank Assessment Centre > Touchscreen > Health and medical history > General health,100042,2306,Weight change compared with 1 year ago,501603,572229,Complete,Categorical single,"",Data,Primary,Unisex,4,1,100540,"ACE touchscreen question ""Compared with one year ago, has your weight changed?""",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2306
UK Biobank Assessment Centre > Touchscreen > Health and medical history > Breathing,100037,2316,Wheeze or whistling in the chest in last year,501602,572228,Complete,Categorical single,"",Data,Primary,Unisex,4,1,100349,"ACE touchscreen question ""In the last year have you ever had wheeze or whistling in the chest?""",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2316
UK Biobank Assessment Centre > Touchscreen > Health and medical history > Chest pain,100039,2335,Chest pain or discomfort,501600,572226,Complete,Categorical single,"",Data,Primary,Unisex,4,1,100349,"ACE touchscreen question ""Do you ever have any pain or discomfort in your chest?""",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2335
UK Biobank Assessment Centre > Touchscreen > Health and medical history > Cancer screening,100040,2345,Ever had bowel cancer screening,501599,572225,Complete,Categorical single,"",Data,Primary,Unisex,4,1,100349,"ACE touchscreen question ""Have you ever had a screening test for bowel (colorectal) cancer? (Please include tests for blood in the stool/faeces or a colonoscopy or a sigmoidoscopy)"" If the participant activated the Help button they were shown the message:     Screening tests for bowel or colorectal cancer include:  - FOBT (faecal occult blood test) - this is when you    are given a set of cards and asked to smear a part    of your stool on three separate occasions onto the    cards and then return the cards to be tested for    blood.  - Sigmoidoscopy - a tube is used to examine the lower    bowel. This is usually done in a doctor's office    without pain relief.  - Colonoscopy - a long tube is used the examine the    whole large bowel; you would usually have to drink    a large amount of special liquid to prepare the    bowel, and you would be given a sedative medication    for the procedure.     ",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2345
UK Biobank Assessment Centre > Touchscreen > Health and medical history > Cancer screening,100040,2355,Most recent bowel cancer screening,180035,202611,Complete,Integer,years,Data,Primary,Unisex,4,1,100567,"ACE touchscreen question ""How many years ago was the most recent one of these tests?"" The following checks were performed:  If answer   If answer > Participants age - 5 years then rejected  If answer > 20 then participant asked to confirm   If the participant activated the Help button they were shown the message:     If you are unsure, please provide an estimate or select Do not know.      ~F2355~ was collected from participants who indicated they have had a screening test for bowel (colorectal) cancer, as indicated by their answers to ~F2345~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2355
UK Biobank Assessment Centre > Touchscreen > Health and medical history > Cancer screening,100040,2365,Ever had prostate specific antigen (PSA) test,228662,262929,Complete,Categorical single,"",Data,Primary,Male,4,1,100349,"ACE touchscreen question ""Have you ever had a blood test for prostate cancer (prostate specific antigen or PSA test)?"" If the participant activated the Help button they were shown the message:     If you are unsure, select Do not know.     ",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2365
UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Male-specific factors,100070,2375,Relative age of first facial hair,227213,242529,Complete,Categorical single,"",Data,Primary,Male,3,1,100570,"ACE touchscreen question ""When did you start to grow facial hair?""  If the participant activated the Help button they were shown the message:        If you are unsure, please provide an estimate or select Do not know.          This question was dropped from the touchscreen protocol on 24/10/2016.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2375
UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Male-specific factors,100070,2385,Relative age voice broke,227213,242529,Complete,Categorical single,"",Data,Primary,Male,3,1,100570,"ACE touchscreen question ""When did your voice break?""  If the participant activated the Help button they were shown the message:        If you are unsure, please provide an estimate or select Do not know.          This question was dropped from the touchscreen protocol on 24/10/2016.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2385
UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Male-specific factors,100070,2395,Hair/balding pattern,227360,261212,Complete,Categorical single,"",Data,Primary,Male,4,1,100572,"ACE touchscreen question ""Which of the following best describes your hair/balding pattern?"" If the participant activated the Help button they were shown the message:     If you are unsure, please provide an estimate or select Do not know.  [Illustrations presented in this question have been adapted from Giles et al. 2002 Cancer Epidemiol Biomarkers Prev]     ",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2395
UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Male-specific factors,100070,2405,Number of children fathered,227360,261212,Complete,Integer,"",Data,Primary,Male,4,1,100291,"ACE touchscreen question ""How many children have you fathered?"" The following checks were performed:  If answer   If answer > 200 then rejected  If answer > 15 then participant asked to confirm   If the participant activated the Help button they were shown the message:     If you are unsure, please provide an estimate or select Do not know.     ",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2405
UK Biobank Assessment Centre > Touchscreen > Health and medical history > Operations,100047,2415,Had major operations,228661,262928,Complete,Categorical single,"",Data,Primary,Male,4,1,100603,"ACE touchscreen question ""Have you had any major operations? (For example, operations that required an overnight stay in hospital)"" If the participant activated the Help button they were shown the message:     If you are unsure if you have had a 'major' operation select Do not know and you will be asked about this by an interviewer later during this visit.      ~F2415~ is male question equivalent of female question ~F2844~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2415
UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medical conditions,100044,2443,Diabetes diagnosed by doctor,501592,572218,Complete,Categorical single,"",Data,Primary,Unisex,4,1,100349,"ACE touchscreen question ""Has a doctor ever told you that you have diabetes?"" If the participant activated the Help button they were shown the message:     If you are unsure if you have been told you had diabetes, select Do not know and you will be asked about this by an interviewer later during this visit.     ",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2443
UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medical conditions,100044,2453,Cancer diagnosed by doctor,501592,572218,Complete,Categorical single,"",Data,Primary,Unisex,4,1,100603,"ACE touchscreen question ""Has a doctor ever told you that you have had cancer?"" If the participant activated the Help button they were shown the message:     If you are unsure if you have been told you had cancer, select Do not know and you will be asked about this by an interviewer later during this visit.     ",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2453
UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medical conditions,100044,2463,Fractured/broken bones in last 5 years,501592,572218,Complete,Categorical single,"",Data,Primary,Unisex,4,1,100349,"ACE touchscreen question ""Have you fractured/broken any bones in the last 5 years?""",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2463
UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medical conditions,100044,2473,Other serious medical condition/disability diagnosed by doctor,501592,572218,Complete,Categorical single,"",Data,Primary,Unisex,4,1,100603,"ACE touchscreen question ""Has a doctor ever told you that you have had any other serious medical conditions or disabilities?"" If the participant activated the Help button they were shown the message:     If you are not sure if you have a serious illness or you are not sure that you have had one of the conditions listed previously, enter Do not know and you will be asked about this by an interviewer later in this visit.     ",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2473
UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medication,100045,2492,Taking other prescription medications,501592,572218,Complete,Categorical single,"",Data,Primary,Unisex,4,1,100603,"ACE touchscreen question ""Do you regularly take any other PRESCRIPTION medications? (Do not forget medications such as puffers or patches)""",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2492
UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity,100054,2624,Frequency of heavy DIY in last 4 weeks,215477,237557,Complete,Categorical single,"",Data,Primary,Unisex,4,1,100317,"ACE touchscreen question ""How many times in the last 4 weeks did you do heavy DIY?"" If the participant activated the Help button they were shown the message:     If you are unsure, please provide an estimate or select Do not know.      ~F2624~ was collected from all participants who indicated that they spent time doing heavy DIY (e.g. weeding, lawn mowing, carpentry, digging) in the previous 4 weeks, as defined by their answers to ~F6164~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2624
UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity,100054,2634,Duration of heavy DIY,215477,237557,Complete,Categorical single,"",Data,Primary,Unisex,4,1,100318,"ACE touchscreen question ""Each time you did heavy DIY, about how long did you spend doing it?"" If the participant activated the Help button they were shown the message:     If you are unsure, please provide an estimate or select Do not know.      ~F2634~ was collected from all participants who indicated that they spent time doing heavy DIY (e.g. weeding, lawn mowing, carpentry, digging) in the previous 4 weeks, as defined by their answers to ~F6164~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2634
UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking,100058,2644,"Light smokers, at least 100 smokes in lifetime",141669,157463,Complete,Categorical single,"",Data,Primary,Unisex,4,1,100349,"ACE touchscreen question ""In your lifetime, have you smoked a total of at least 100 times?"" ~F2644~ was collected from participants who indicated they smoked occasionally or Just tried once or twice, as defined by their answers to ~F1249~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2644
UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet,100052,2654,Non-butter spread type details,264354,286927,Complete,Categorical single,"",Data,Primary,Unisex,4,1,100389,"ACE touchscreen question ""What type of spread do you mainly use?"" If the participant activated the Help button they were shown the message:     If you use more than one type of spread, please select the one that you use the most. If you are unsure, select Do not know.      ~F2654~ was collected from participants who indicated they mainly use another type of spread/margarine rather than butter/spreadable butter or do not know what they use, as defined by their answers to ~F1428~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2654
UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol,100051,2664,Reason for reducing amount of alcohol drunk,219118,239160,Complete,Categorical single,"",Data,Primary,Unisex,4,1,100418,"ACE touchscreen question ""Why did you reduce the amount you drank?"" ~F2664~ was collected from participants who indicated they drink alcohol, as defined by their answers to ~F1558~ and they drink less nowadays than 10 years ago, as defined by their answers to ~F1558~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2664
UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Female-specific factors,100069,2674,Ever had breast cancer screening / mammogram,272921,309271,Complete,Categorical single,"",Data,Primary,Female,4,1,100349,"ACE touchscreen question ""Have you ever been for breast cancer screening (a mammogram)?""",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2674
UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Female-specific factors,100069,2684,Years since last breast cancer screening / mammogram,223188,252179,Complete,Integer,years,Data,Primary,Female,4,1,100567,"ACE touchscreen question ""How many years ago was your last screen?"" The following checks were performed:  If answer   If answer > Participants age - 15 years then rejected  If answer > 15 then participant asked to confirm   If the participant activated the Help button they were shown the message:     If you are unsure, please provide an estimate or select Do not know.      ~F2684~ was collected from women who indicated that they had been for a mammogram, as defined by their answers to ~F2674~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2684
UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Female-specific factors,100069,2694,Ever had cervical smear test,272921,309271,Complete,Categorical single,"",Data,Primary,Female,4,1,100349,"ACE touchscreen question ""Have you ever had a cervical smear test?""",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2694
UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Female-specific factors,100069,2704,Years since last cervical smear test,265921,301295,Complete,Integer,years,Data,Primary,Female,4,1,100569,"ACE touchscreen question ""How many years ago was your last cervical smear test?"" The following checks were performed:  If answer   If answer > Participants age - 10 years then rejected  If answer > 15 then participant asked to confirm   If the participant activated the Help button they were shown the message:     If you are unsure, please provide an estimate or select Do not know.      ~F2704~ was collected from women who indicated that they had had a cervical smear test, as defined by their answers to ~F2694~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2704
UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Female-specific factors,100069,2714,Age when periods started (menarche),272921,309271,Complete,Integer,years,Data,Primary,Female,4,1,100291,"ACE touchscreen question ""How old were you when your periods started?"" The following checks were performed:  If answer   If answer > Participants age then rejected  If answer > 25 then rejected  If answer   If answer > 20 then participant asked to confirm   If the participant activated the Help button they were shown the message:     If you are unsure, please provide an estimate or select Do not know.     ",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2714
UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Female-specific factors,100069,2724,Had menopause,272921,309271,Complete,Categorical single,"",Data,Primary,Female,4,1,100579,"ACE touchscreen question ""Have you had your menopause (periods stopped)?""",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2724
UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Female-specific factors,100069,2734,Number of live births,272919,309269,Complete,Integer,children,Data,Primary,Female,4,1,100584,"ACE touchscreen question ""How many children have you given birth to? (Please include live births only)"" The following checks were performed:  If answer   If answer > 25 then rejected  If answer > 12 then participant asked to confirm  ",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2734
UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Female-specific factors,100069,2744,Birth weight of first child,221497,250073,Complete,Integer,pounds,Data,Primary,Female,4,1,100585,"ACE touchscreen question ""What was the birth weight of your first child in pounds? (do not include twins)"" The following checks were performed:  If answer   If answer > 16 then rejected  If answer > 12 then participant asked to confirm   If the participant activated the Help button they were shown the message:     If you are unsure of the weight in pounds, here is a conversion table for pounds, grams and kilograms.  Pounds  Grams  Kilograms 2  907  0.91 3  1361  1.36 4  1814  1.81 5  2268  2.27 6  2721  2.72 7  3175  3.18 8  3629  3.63 9  4082  4.08 10  4536  4.54 11  4990  4.99 12  5443  5.44 13  5897  5.90 14  6350  6.35 15  6804  6.80  An exact answer is not necessary. Please enter the birthweight to the closest pound. If your first birth was twins or other multiple birth, enter the birthweight of the first singleton birth. If you have only had twins or other multiple births then select Only twins.      ~F2744~ was collected from women who indicated they had given birth to at least one child, as defined by their answers to ~F2734~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2744
UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Female-specific factors,100069,2754,Age at first live birth,185028,208965,Complete,Integer,years,Data,Primary,Female,4,1,100586,"ACE touchscreen question ""How old were you when you had your FIRST child?"" The following checks were performed:  If answer   If answer > 65 then rejected  If answer > Participants age then rejected  If answer   If answer   If answer > 48 then participant asked to confirm  If answer > Age when periods stopped then participant asked to confirm   ~F2754~ was collected from women who indicated they had given birth to more than one child, as defined by their answers to ~F2734~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2754
UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Female-specific factors,100069,2764,Age at last live birth,185028,208965,Complete,Integer,years,Data,Primary,Female,4,1,100586,"ACE touchscreen question ""How old were you when you had your LAST child?"" The following checks were performed:  If answer   If answer > 65 then rejected  If answer > Participants age then rejected  If answer   If answer   If answer > 48 then participant asked to confirm  If answer > Age when periods stopped then participant asked to confirm   ~F2764~ was collected from women who indicated they had given birth to more than one child, as defined by their answers to ~F2734~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2764
UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Female-specific factors,100069,2774,"Ever had stillbirth, spontaneous miscarriage or termination",272918,309268,Complete,Categorical single,"",Data,Primary,Female,4,1,100349,"ACE touchscreen question ""Have you ever had any stillbirths, spontaneous miscarriages or terminations?""",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2774
UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Female-specific factors,100069,2784,Ever taken oral contraceptive pill,272918,309268,Complete,Categorical single,"",Data,Primary,Female,4,1,100349,"ACE touchscreen question ""Have you ever taken the contraceptive pill? (include the 'mini-pill')""",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2784
UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Female-specific factors,100069,2794,Age started oral contraceptive pill,220791,251031,Complete,Integer,years,Data,Primary,Female,4,1,100291,"ACE touchscreen question ""About how old were you when you first went on the contraceptive pill?"" The following checks were performed:  If answer   If answer > Participants age then rejected  If answer   If answer > 50 then participant asked to confirm   If the participant activated the Help button they were shown the message:     If you are unsure, please provide an estimate or select Do not know.      ~F2794~ was collected from women who indicated that they had taken the contraceptive pill, as defined by their answers to ~F2784~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2794
UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Female-specific factors,100069,2804,Age when last used oral contraceptive pill,220473,250590,Complete,Integer,years,Data,Primary,Female,4,1,100595,"ACE touchscreen question ""How old were you when you last used the contraceptive pill?"" The following checks were performed:  If answer   If answer > Participants age then rejected  If answer   If answer > 60 then participant asked to confirm   If the participant activated the Help button they were shown the message:     If you are currently taking the pill select Still taking the pill. If you are unsure, please provide an estimate or select Do not know.      ~F2804~ was collected from women who indicated that they had taken the contraceptive pill, as defined by their answers to ~F2784~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2804
UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Female-specific factors,100069,2814,Ever used hormone-replacement therapy (HRT),272918,309268,Complete,Categorical single,"",Data,Primary,Female,4,1,100349,"ACE touchscreen question ""Have you ever used hormone replacement therapy (HRT)?""",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2814
UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Female-specific factors,100069,2824,Age at hysterectomy,51876,57663,Complete,Integer,years,Data,Primary,Female,4,1,100291,"ACE touchscreen question ""How old were you when you had your hysterectomy?"" The following checks were performed:  If answer   If answer > Participants age then rejected  If answer   If answer > 69 then participant asked to confirm  If answer    If the participant activated the Help button they were shown the message:     If you are unsure, please provide an estimate or select Do not know.      ~F2824~ was collected from women who indicated they have had a hysterectomy (womb removed), as defined by their answers to ~F2724~ and ~F2724~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2824
UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Female-specific factors,100069,2834,Bilateral oophorectomy (both ovaries removed),272918,309268,Complete,Categorical single,"",Data,Primary,Female,4,1,100599,"ACE touchscreen question ""Have you had BOTH ovaries removed?"" If the participant activated the Help button they were shown the message:     Only enter Yes if you have had both ovaries removed. If you have only had one ovary removed you will be able to let the interviewer know later in the visit. If you are unsure of whether both ovaries have been removed, select Do not know.     ",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2834
